13:22:33: 19.2°C
13:55:48: 19.6°C
13:55:49: 19.6°C
13:55:51: 19.6°C
13:55:52: 19.6°C
13:55:53: 19.6°C
13:55:54: 19.6°C
13:55:56: 19.6°C
13:55:56: 19.6°C
13:57:34: 19.6°C
13:57:44: 19.6°C
13:59:06: 19.7°C
14:00:27: 19.7°C
14:01:10: 19.7°C
14:01:42: 19.7°C
14:01:56: 19.7°C
14:06:01: 19.8°C
14:06:28: 19.8°C
14:06:34: 19.8°C
14:09:12: 19.8°C
14:10:10: 19.8°C
14:11:09: 19.8°C
14:12:01: 19.8°C
14:12:07: 19.8°C
14:12:13: 19.8°C
14:12:38: 19.9°C
14:12:45: 19.8°C
14:12:51: 19.8°C
14:13:02: 19.8°C
14:47:54: 20.2°C
14:48:01: 20.2°C
14:48:07: 20.2°C
14:48:36: 20.3°C
14:48:43: 20.3°C
14:49:08: 20.3°C
14:49:14: 20.3°C
14:50:31: 20.3°C
14:50:38: 20.3°C
14:50:46: 20.3°C
14:51:13: 20.3°C
14:51:19: 20.3°C
14:51:26: 20.3°C
14:51:32: 20.3°C
14:53:48: 20.4°C
14:53:55: 20.4°C
14:54:01: 20.4°C
14:54:07: 20.4°C
14:55:54: 20.4°C
14:56:01: 20.4°C
14:56:22: 20.4°C
14:56:28: 20.4°C
14:56:35: 20.4°C
14:56:41: 20.4°C
14:56:47: 20.4°C
14:56:53: 20.4°C
14:57:00: 20.4°C
14:57:06: 20.4°C
14:57:12: 20.4°C
14:57:19: 20.4°C
14:57:25: 20.4°C
14:57:31: 20.4°C
14:57:37: 20.4°C
14:57:44: 20.4°C
14:57:50: 20.4°C
14:57:56: 20.4°C
14:58:02: 20.4°C
14:58:09: 20.4°C
14:58:15: 20.4°C
14:58:21: 20.4°C
14:58:27: 20.4°C
14:58:34: 20.4°C
14:58:40: 20.4°C
14:58:46: 20.4°C
14:58:53: 20.4°C
14:58:59: 20.4°C
14:59:05: 20.4°C
14:59:11: 20.4°C
14:59:18: 20.4°C
14:59:24: 20.4°C
14:59:30: 20.4°C
14:59:36: 20.4°C
14:59:43: 20.4°C
14:59:49: 20.4°C
14:59:55: 20.4°C
15:00:01: 20.4°C
15:00:08: 20.4°C
15:00:14: 20.4°C
15:00:20: 20.4°C
15:00:27: 20.4°C
15:00:33: 20.4°C
15:00:39: 20.4°C
15:00:45: 20.4°C
15:00:52: 20.4°C
15:00:58: 20.4°C
15:01:04: 20.4°C
15:01:10: 20.4°C
15:01:17: 20.4°C
15:01:23: 20.4°C
15:01:29: 20.4°C
15:01:36: 20.4°C
15:01:42: 20.4°C
15:01:48: 20.4°C
15:01:54: 20.4°C
15:02:01: 20.4°C
15:02:07: 20.4°C
15:02:13: 20.4°C
15:02:19: 20.4°C
15:02:26: 20.4°C
15:02:32: 20.4°C
15:02:38: 20.5°C
15:02:44: 20.5°C
15:02:51: 20.4°C
15:02:57: 20.4°C
15:03:03: 20.5°C
15:03:09: 20.4°C
15:03:16: 20.4°C
15:03:22: 20.5°C
15:03:28: 20.4°C
15:03:34: 20.4°C
15:03:41: 20.5°C
15:03:47: 20.5°C
15:03:53: 20.5°C
15:03:59: 20.4°C
15:04:06: 20.4°C
15:04:12: 20.5°C
15:04:18: 20.4°C
15:04:25: 20.5°C
15:04:31: 20.5°C
15:04:37: 20.5°C
15:04:43: 20.5°C
15:04:50: 20.5°C
15:04:56: 20.5°C
15:05:02: 20.5°C
15:05:08: 20.5°C
15:05:15: 20.5°C
15:05:21: 20.5°C
15:05:27: 20.5°C
15:05:33: 20.5°C
15:05:40: 20.5°C
15:05:46: 20.5°C
15:05:52: 20.4°C
15:05:59: 20.5°C
15:06:05: 20.5°C
15:06:11: 20.5°C
15:06:17: 20.5°C
15:06:24: 20.5°C
15:06:30: 20.5°C
15:06:36: 20.5°C
15:06:42: 20.5°C
15:06:49: 20.5°C
15:06:55: 20.5°C
15:07:01: 20.5°C
15:07:08: 20.6°C
15:07:14: 20.5°C
15:07:20: 20.6°C
15:07:26: 20.5°C
15:07:33: 20.5°C
15:07:39: 20.5°C
15:07:45: 20.5°C
15:07:51: 20.5°C
15:07:58: 20.5°C
15:08:04: 20.6°C
15:08:10: 20.5°C
15:08:16: 20.6°C
15:08:23: 20.5°C
15:08:29: 20.6°C
15:08:35: 20.6°C
15:08:42: 20.5°C
15:08:48: 20.5°C
15:08:54: 20.5°C
15:09:00: 20.5°C
15:09:07: 20.6°C
15:09:13: 20.6°C
15:09:19: 20.6°C
15:09:25: 20.6°C
15:09:32: 20.6°C
15:09:38: 20.6°C
15:09:44: 20.6°C
15:09:50: 20.6°C
15:09:57: 20.6°C
15:10:03: 20.6°C
15:10:09: 20.6°C
15:10:15: 20.6°C
15:10:22: 20.6°C
15:10:28: 20.6°C
15:10:34: 20.6°C
15:10:41: 20.6°C
15:10:47: 20.6°C
15:10:53: 20.6°C
15:10:59: 20.6°C
15:11:06: 20.6°C
15:11:12: 20.6°C
15:11:18: 20.6°C
15:11:24: 20.6°C
15:11:31: 20.6°C
15:11:37: 20.6°C
15:11:43: 20.6°C
15:11:49: 20.6°C
15:11:56: 20.6°C
15:12:02: 20.6°C
15:12:08: 20.6°C
15:12:14: 20.6°C
15:12:21: 20.6°C
15:12:27: 20.6°C
15:12:33: 20.6°C
15:12:39: 20.6°C
15:12:46: 20.6°C
15:12:52: 20.6°C
15:12:58: 20.6°C
15:13:05: 20.6°C
15:13:11: 20.6°C
15:13:17: 20.6°C
15:13:23: 20.6°C
15:13:30: 20.6°C
15:13:36: 20.6°C
15:13:42: 20.6°C
15:13:48: 20.6°C
15:13:55: 20.6°C
15:14:01: 20.6°C
15:14:07: 20.6°C
15:14:13: 20.6°C
15:14:20: 20.6°C
15:14:26: 20.6°C
15:14:32: 20.6°C
15:14:39: 20.6°C
15:14:45: 20.6°C
15:14:51: 20.6°C
15:14:57: 20.6°C
15:15:04: 20.6°C
15:15:10: 20.6°C
15:15:16: 20.6°C
15:15:22: 20.6°C
15:15:29: 20.6°C
15:15:35: 20.6°C
15:15:41: 20.6°C
15:15:47: 20.6°C
15:15:54: 20.6°C
15:16:00: 20.6°C
15:16:06: 20.6°C
15:16:13: 20.6°C
15:16:19: 20.6°C
15:16:25: 20.6°C
15:16:31: 20.6°C
15:16:38: 20.6°C
15:16:44: 20.6°C
15:16:50: 20.6°C
15:16:56: 20.6°C
15:17:03: 20.7°C
15:17:09: 20.6°C
15:17:15: 20.6°C
15:17:21: 20.6°C
15:17:28: 20.6°C
15:17:34: 20.6°C
15:17:40: 20.7°C
15:17:46: 20.7°C
15:17:53: 20.6°C
15:17:59: 20.6°C
15:18:05: 20.6°C
15:18:12: 20.6°C
15:18:18: 20.6°C
15:18:24: 20.6°C
15:18:30: 20.7°C
15:18:37: 20.7°C
15:18:43: 20.7°C
15:18:49: 20.7°C
15:18:55: 20.7°C
15:19:02: 20.7°C
15:19:08: 20.7°C
15:19:14: 20.7°C
15:19:20: 20.7°C
15:19:27: 20.7°C
15:19:33: 20.7°C
15:19:39: 20.7°C
15:19:46: 20.7°C
15:19:52: 20.7°C
15:19:58: 20.7°C
15:20:04: 20.7°C
15:20:11: 20.7°C
15:20:17: 20.7°C
15:20:23: 20.7°C
15:20:29: 20.7°C
15:20:36: 20.7°C
15:20:42: 20.7°C
15:20:48: 20.7°C
15:20:54: 20.7°C
15:21:01: 20.7°C
15:21:07: 20.7°C
15:21:13: 20.7°C
15:21:19: 20.7°C
15:21:26: 20.7°C
15:21:32: 20.7°C
15:21:38: 20.7°C
15:21:45: 20.7°C
15:21:51: 20.7°C
15:21:57: 20.7°C
15:22:03: 20.7°C
15:22:10: 20.7°C
15:22:16: 20.7°C
15:22:22: 20.7°C
15:22:28: 20.7°C
15:22:35: 20.7°C
15:22:41: 20.8°C
15:22:47: 20.7°C
15:22:53: 20.7°C
15:23:00: 20.8°C
15:23:06: 20.8°C
15:23:12: 20.7°C
15:23:18: 20.7°C
15:23:25: 20.8°C
15:23:31: 20.7°C
15:23:37: 20.8°C
15:23:43: 20.8°C
15:23:50: 20.8°C
15:23:56: 20.8°C
15:24:02: 20.7°C
15:24:08: 20.8°C
15:24:15: 20.8°C
15:24:21: 20.7°C
15:24:27: 20.8°C
15:24:34: 20.8°C
15:24:40: 20.8°C
15:24:46: 20.8°C
15:24:52: 20.8°C
15:24:59: 20.8°C
15:25:05: 20.8°C
15:25:11: 20.8°C
15:25:17: 20.8°C
15:25:24: 20.8°C
15:25:30: 20.8°C
15:25:36: 20.8°C
15:25:42: 20.8°C
15:25:49: 20.8°C
15:25:55: 20.8°C
15:26:01: 20.8°C
15:26:08: 20.8°C
15:26:14: 20.8°C
15:26:20: 20.8°C
15:26:26: 20.8°C
15:26:33: 20.8°C
15:26:39: 20.8°C
15:26:45: 20.8°C
15:26:51: 20.8°C
15:26:58: 20.8°C
15:27:04: 20.8°C
15:27:10: 20.8°C
15:27:16: 20.8°C
15:27:23: 20.8°C
15:27:29: 20.8°C
15:27:35: 20.8°C
15:27:41: 20.8°C
15:27:48: 20.8°C
15:27:54: 20.8°C
15:28:00: 20.8°C
15:28:07: 20.8°C
15:28:13: 20.8°C
15:28:19: 20.8°C
15:28:25: 20.8°C
15:28:32: 20.8°C
15:28:38: 20.8°C
15:28:44: 20.8°C
15:28:50: 20.8°C
15:28:57: 20.8°C
15:29:03: 20.8°C
15:29:09: 20.8°C
15:29:16: 20.8°C
15:29:22: 20.8°C
15:29:28: 20.8°C
15:29:34: 20.8°C
15:29:41: 20.8°C
15:29:47: 20.8°C
15:29:53: 20.8°C
15:29:59: 20.8°C
15:30:06: 20.8°C
15:30:12: 20.8°C
15:30:18: 20.8°C
15:30:24: 20.8°C
15:30:31: 20.8°C
15:30:37: 20.8°C
15:30:43: 20.8°C
15:30:50: 20.8°C
15:30:56: 20.8°C
15:31:02: 20.8°C
15:31:08: 20.8°C
15:31:15: 20.8°C
15:31:21: 20.8°C
15:31:27: 20.8°C
15:31:33: 20.8°C
15:31:40: 20.8°C
15:31:46: 20.8°C
15:31:52: 20.8°C
15:31:58: 20.8°C
15:32:05: 20.8°C
15:32:11: 20.9°C
15:32:17: 20.8°C
15:32:23: 20.9°C
15:32:30: 20.8°C
15:32:36: 20.8°C
15:32:42: 20.9°C
15:32:49: 20.9°C
